País,Moeda,Continente,Países Vizinhos,Horário
Monaco,Euro,EU,['France'],Thu Aug 22 14:02:20 2024
Afghanistan,Afghani,AS,"['Turkmenistan', 'China', 'Iran', 'Tajikistan', 'Pakistan', 'Uzbekistan']",Thu Aug 22 14:02:21 2024
American Samoa,Dollar,OC,[],Thu Aug 22 14:02:22 2024
Angola,Kwanza,AF,"['Democratic Republic of the Congo', 'Namibia', 'Zambia', 'Republic of the Congo']",Thu Aug 22 14:02:23 2024
Saint Kitts and Nevis,Dollar,NA,[],Thu Aug 22 14:02:23 2024
Sao Tome and Principe,Dobra,AF,[],Thu Aug 22 14:02:23 2024
Honduras,Lempira,NA,"['Guatemala', 'Nicaragua', 'El Salvador']",Thu Aug 22 14:02:24 2024
Faroe Islands,Krone,EU,[],Thu Aug 22 14:02:24 2024
Morocco,Dirham,AF,"['Algeria', 'Western Sahara', 'Spain']",Thu Aug 22 14:02:25 2024
Uruguay,Peso,SA,"['Brazil', 'Argentina']",Thu Aug 22 14:02:25 2024
Suriname,Dollar,SA,"['Guyana', 'Brazil', 'French Guiana']",Thu Aug 22 14:02:26 2024
Chile,Peso,SA,"['Peru', 'Bolivia', 'Argentina']",Thu Aug 22 14:02:27 2024
Israel,Shekel,AS,"['Syria', 'Jordan', 'Lebanon', 'Egypt', 'Palestinian Territory']",Thu Aug 22 14:02:28 2024
Papua New Guinea,Kina,OC,['Indonesia'],Thu Aug 22 14:02:28 2024
Pakistan,Rupee,AS,"['China', 'Afghanistan', 'Iran', 'India']",Thu Aug 22 14:02:29 2024
Palestinian Territory,Shekel,AS,"['Jordan', 'Israel']",Thu Aug 22 14:02:30 2024
Ghana,Cedi,AF,"['Ivory Coast', 'Togo', 'Burkina Faso']",Thu Aug 22 14:02:30 2024
Cook Islands,Dollar,OC,[],Thu Aug 22 14:02:31 2024
Lithuania,Litas,EU,"['Poland', 'Belarus', 'Russia', 'Latvia']",Thu Aug 22 14:02:31 2024
Switzerland,Franc,EU,"['Germany', 'Italy', 'Liechtenstein', 'France', 'Austria']",Thu Aug 22 14:02:32 2024
Bulgaria,Lev,EU,"['Macedonia', 'Greece', 'Romania', 'Serbia and Montenegro', 'Turkey', 'Serbia']",Thu Aug 22 14:02:34 2024
