País,Moeda,Continente,Países Vizinhos,Horário
Niue,Dollar,OC,[],Thu Aug 22 14:02:34 2024
Cameroon,Franc,AF,"['Chad', 'Central African Republic', 'Gabon', 'Equatorial Guinea', 'Republic of the Congo', 'Nigeria']",Thu Aug 22 14:02:35 2024
Sri Lanka,Rupee,AS,[],Thu Aug 22 14:02:35 2024
Burkina Faso,Franc,AF,"['Niger', 'Benin', 'Ghana', 'Ivory Coast', 'Togo', 'Mali']",Thu Aug 22 14:02:37 2024
Nigeria,Naira,AF,"['Chad', 'Niger', 'Benin', 'Cameroon']",Thu Aug 22 14:02:38 2024
Syria,Pound,AS,"['Iraq', 'Jordan', 'Israel', 'Turkey', 'Lebanon']",Thu Aug 22 14:02:39 2024
Romania,Leu,EU,"['Moldova', 'Hungary', 'Ukraine', 'Serbia and Montenegro', 'Bulgaria', 'Serbia']",Thu Aug 22 14:02:40 2024
Saint Lucia,Dollar,NA,[],Thu Aug 22 14:02:40 2024
Macao,Pataca,AS,[],Thu Aug 22 14:02:40 2024
Costa Rica,Colon,NA,"['Panama', 'Nicaragua']",Thu Aug 22 14:02:41 2024
Sudan,Pound,AF,"['South Sudan', 'Chad', 'Egypt', 'Ethiopia', 'Eritrea', 'Libya', 'Central African Republic']",Thu Aug 22 14:02:42 2024
Uganda,Shilling,AF,"['Tanzania', 'Kenya', 'South Sudan', 'Democratic Republic of the Congo', 'Rwanda']",Thu Aug 22 14:02:43 2024
Guinea-Bissau,Franc,AF,"['Senegal', 'Guinea']",Thu Aug 22 14:02:44 2024
Falkland Islands,Pound,SA,[],Thu Aug 22 14:02:44 2024
Macedonia,Denar,EU,"['Albania', 'Greece', 'Serbia and Montenegro', 'Bulgaria', 'Serbia', 'Kosovo']",Thu Aug 22 14:02:46 2024
Cayman Islands,Dollar,NA,[],Thu Aug 22 14:02:46 2024
Turks and Caicos Islands,Dollar,NA,[],Thu Aug 22 14:02:46 2024
Denmark,Krone,EU,['Germany'],Thu Aug 22 14:02:46 2024
Greenland,Krone,NA,[],Thu Aug 22 14:02:47 2024
Vatican,Euro,EU,['Italy'],Thu Aug 22 14:02:47 2024
Central African Republic,Franc,AF,"['Chad', 'Sudan', 'Democratic Republic of the Congo', 'South Sudan', 'Cameroon', 'Republic of the Congo']",Thu Aug 22 14:02:48 2024
Tajikistan,Somoni,AS,"['China', 'Afghanistan', 'Kyrgyzstan', 'Uzbekistan']",Thu Aug 22 14:02:49 2024
Italy,Euro,EU,"['Switzerland', 'Vatican', 'Slovenia', 'San Marino', 'France', 'Austria']",Thu Aug 22 14:02:50 2024
Turkey,Lira,AS,"['Syria', 'Georgia', 'Iraq', 'Iran', 'Greece', 'Armenia', 'Azerbaijan', 'Bulgaria']",Thu Aug 22 14:02:52 2024
Japan,Yen,AS,[],Thu Aug 22 14:02:52 2024
Uzbekistan,Som,AS,"['Turkmenistan', 'Afghanistan', 'Kyrgyzstan', 'Tajikistan', 'Kazakhstan']",Thu Aug 22 14:02:53 2024
Guam,Dollar,OC,[],Thu Aug 22 14:02:54 2024
Seychelles,Rupee,AF,[],Thu Aug 22 14:02:54 2024
Armenia,Dram,AS,"['Georgia', 'Iran', 'Azerbaijan', 'Turkey']",Thu Aug 22 14:02:55 2024
India,Rupee,AS,"['China', 'Nepal', 'Myanmar', 'Bhutan', 'Pakistan', 'Bangladesh']",Thu Aug 22 14:02:56 2024
Tanzania,Shilling,AF,"['Mozambique', 'Kenya', 'Democratic Republic of the Congo', 'Rwanda', 'Zambia', 'Burundi', 'Uganda', 'Malawi']",Thu Aug 22 14:02:58 2024
Mauritania,Ouguiya,AF,"['Senegal', 'Algeria', 'Western Sahara', 'Mali']",Thu Aug 22 14:02:59 2024
Trinidad and Tobago,Dollar,NA,[],Thu Aug 22 14:02:59 2024
United States,Dollar,NA,"['Canada', 'Mexico', 'Cuba']",Thu Aug 22 14:02:59 2024
Ukraine,Hryvnia,EU,"['Poland', 'Moldova', 'Hungary', 'Slovakia', 'Belarus', 'Romania', 'Russia']",Thu Aug 22 14:03:01 2024
Sierra Leone,Leone,AF,"['Liberia', 'Guinea']",Thu Aug 22 14:03:01 2024
Lesotho,Loti,AF,['South Africa'],Thu Aug 22 14:03:02 2024
Libya,Dinar,AF,"['Chad', 'Niger', 'Algeria', 'Sudan', 'Tunisia', 'Egypt']",Thu Aug 22 14:03:03 2024
Antarctica,,AN,[],Thu Aug 22 14:03:03 2024
Australia,Dollar,OC,[],Thu Aug 22 14:03:03 2024
Republic of the Congo,Franc,AF,"['Central African Republic', 'Gabon', 'Democratic Republic of the Congo', 'Cameroon', 'Angola']",Thu Aug 22 14:03:04 2024
Bangladesh,Taka,AS,"['Myanmar', 'India']",Thu Aug 22 14:03:05 2024
Tunisia,Dinar,AF,"['Algeria', 'Libya']",Thu Aug 22 14:03:05 2024
Thailand,Baht,AS,"['Laos', 'Myanmar', 'Cambodia', 'Malaysia']",Thu Aug 22 14:03:06 2024
Netherlands,Euro,EU,"['Germany', 'Belgium']",Thu Aug 22 14:03:07 2024
"Bonaire, Saint Eustatius and Saba",Dollar,NA,[],Thu Aug 22 14:03:07 2024
Nicaragua,Cordoba,NA,"['Costa Rica', 'Honduras']",Thu Aug 22 14:03:08 2024
Kenya,Shilling,AF,"['Ethiopia', 'Tanzania', 'South Sudan', 'Somalia', 'Uganda']",Thu Aug 22 14:03:09 2024
Togo,Franc,AF,"['Benin', 'Ghana', 'Burkina Faso']",Thu Aug 22 14:03:09 2024
Belgium,Euro,EU,"['Germany', 'Netherlands', 'Luxembourg', 'France']",Thu Aug 22 14:03:10 2024
Netherlands Antilles,Guilder,NA,['Guadeloupe'],Thu Aug 22 14:03:11 2024
Hong Kong,Dollar,AS,[],Thu Aug 22 14:03:11 2024
Ivory Coast,Franc,AF,"['Liberia', 'Ghana', 'Guinea', 'Burkina Faso', 'Mali']",Thu Aug 22 14:03:12 2024
Saint Vincent and the Grenadines,Dollar,NA,[],Thu Aug 22 14:03:12 2024
Montserrat,Dollar,NA,[],Thu Aug 22 14:03:13 2024
Rwanda,Franc,AF,"['Tanzania', 'Democratic Republic of the Congo', 'Burundi', 'Uganda']",Thu Aug 22 14:03:13 2024
South Africa,Rand,AF,"['Zimbabwe', 'Swaziland', 'Mozambique', 'Botswana', 'Namibia', 'Lesotho']",Thu Aug 22 14:03:15 2024
Algeria,Dinar,AF,"['Niger', 'Western Sahara', 'Libya', 'Mauritania', 'Tunisia', 'Morocco', 'Mali']",Thu Aug 22 14:03:16 2024
Saint Barthelemy,Euro,NA,[],Thu Aug 22 14:03:16 2024
Venezuela,Bolivar,SA,"['Guyana', 'Brazil', 'Colombia']",Thu Aug 22 14:03:17 2024
Malaysia,Ringgit,AS,"['Brunei', 'Thailand', 'Indonesia']",Thu Aug 22 14:03:18 2024
Czech Republic,Koruna,EU,"['Poland', 'Germany', 'Slovakia', 'Austria']",Thu Aug 22 14:03:18 2024
Malawi,Kwacha,AF,"['Tanzania', 'Mozambique', 'Zambia']",Thu Aug 22 14:03:19 2024
San Marino,Euro,EU,['Italy'],Thu Aug 22 14:03:19 2024
Spain,Euro,EU,"['Andorra', 'Portugal', 'Gibraltar', 'France', 'Morocco']",Thu Aug 22 14:03:20 2024
Kyrgyzstan,Som,AS,"['China', 'Tajikistan', 'Uzbekistan', 'Kazakhstan']",Thu Aug 22 14:03:21 2024
Grenada,Dollar,NA,[],Thu Aug 22 14:03:22 2024
Saint Helena,Pound,AF,[],Thu Aug 22 14:03:22 2024
Dominica,Dollar,NA,[],Thu Aug 22 14:03:22 2024
Guyana,Dollar,SA,"['Suriname', 'Brazil', 'Venezuela']",Thu Aug 22 14:03:23 2024
Indonesia,Rupiah,AS,"['Papua New Guinea', 'East Timor', 'Malaysia']",Thu Aug 22 14:03:24 2024
Singapore,Dollar,AS,[],Thu Aug 22 14:03:24 2024
East Timor,Dollar,OC,['Indonesia'],Thu Aug 22 14:03:24 2024
Ireland,Euro,EU,['United Kingdom'],Thu Aug 22 14:03:25 2024
Kazakhstan,Tenge,AS,"['Turkmenistan', 'China', 'Kyrgyzstan', 'Uzbekistan', 'Russia']",Thu Aug 22 14:03:26 2024
New Caledonia,Franc,OC,[],Thu Aug 22 14:03:26 2024
Somalia,Shilling,AF,"['Ethiopia', 'Kenya', 'Djibouti']",Thu Aug 22 14:03:27 2024
Nepal,Rupee,AS,"['China', 'India']",Thu Aug 22 14:03:27 2024
Tokelau,Dollar,OC,[],Thu Aug 22 14:03:27 2024
Slovenia,Euro,EU,"['Hungary', 'Italy', 'Croatia', 'Austria']",Thu Aug 22 14:03:28 2024
Christmas Island,Dollar,AS,[],Thu Aug 22 14:03:29 2024
Pitcairn,Dollar,OC,[],Thu Aug 22 14:03:29 2024
Portugal,Euro,EU,['Spain'],Thu Aug 22 14:03:29 2024
Kuwait,Dinar,AS,"['Saudi Arabia', 'Iraq']",Thu Aug 22 14:03:30 2024
Zambia,Kwacha,AF,"['Zimbabwe', 'Tanzania', 'Mozambique', 'Democratic Republic of the Congo', 'Namibia', 'Malawi', 'Angola']",Thu Aug 22 14:03:31 2024
British Indian Ocean Territory,Dollar,AS,[],Thu Aug 22 14:03:31 2024
Kosovo,Euro,EU,"['Serbia', 'Albania', 'Macedonia', 'Montenegro']",Thu Aug 22 14:03:32 2024
South Sudan,Pound,AF,"['Democratic Republic of the Congo', 'Central African Republic', 'Ethiopia', 'Kenya', 'Sudan', 'Uganda']",Thu Aug 22 14:03:34 2024
Poland,Zloty,EU,"['Germany', 'Lithuania', 'Slovakia', 'Czech Republic', 'Belarus', 'Ukraine', 'Russia']",Thu Aug 22 14:03:35 2024
Jordan,Dinar,AS,"['Syria', 'Saudi Arabia', 'Iraq', 'Israel', 'Palestinian Territory']",Thu Aug 22 14:03:36 2024
Puerto Rico,Dollar,NA,[],Thu Aug 22 14:03:36 2024
Mozambique,Metical,AF,"['Zimbabwe', 'Tanzania', 'Swaziland', 'South Africa', 'Zambia', 'Malawi']",Thu Aug 22 14:03:38 2024
Greece,Euro,EU,"['Albania', 'Macedonia', 'Turkey', 'Bulgaria']",Thu Aug 22 14:03:38 2024
Hungary,Forint,EU,"['Slovakia', 'Slovenia', 'Romania', 'Ukraine', 'Serbia and Montenegro', 'Croatia', 'Austria', 'Serbia']",Thu Aug 22 14:03:40 2024
Mali,Franc,AF,"['Senegal', 'Niger', 'Algeria', 'Ivory Coast', 'Guinea', 'Mauritania', 'Burkina Faso']",Thu Aug 22 14:03:42 2024
Guinea,Franc,AF,"['Liberia', 'Senegal', 'Sierra Leone', 'Ivory Coast', 'Guinea-Bissau', 'Mali']",Thu Aug 22 14:03:43 2024
Sweden,Krona,EU,"['Norway', 'Finland']",Thu Aug 22 14:03:43 2024
Tuvalu,Dollar,OC,[],Thu Aug 22 14:03:44 2024
Chad,Franc,AF,"['Niger', 'Libya', 'Central African Republic', 'Sudan', 'Cameroon', 'Nigeria']",Thu Aug 22 14:03:45 2024
Argentina,Peso,SA,"['Chile', 'Bolivia', 'Uruguay', 'Paraguay', 'Brazil']",Thu Aug 22 14:03:46 2024
Croatia,Kuna,EU,"['Hungary', 'Slovenia', 'Serbia and Montenegro', 'Bosnia and Herzegovina', 'Montenegro', 'Serbia']",Thu Aug 22 14:03:47 2024
Democratic Republic of the Congo,Franc,AF,"['Tanzania', 'Central African Republic', 'South Sudan', 'Rwanda', 'Zambia', 'Burundi', 'Uganda', 'Republic of the Congo', 'Angola']",Thu Aug 22 14:03:49 2024
Iran,Rial,AS,"['Turkmenistan', 'Afghanistan', 'Iraq', 'Armenia', 'Pakistan', 'Azerbaijan', 'Turkey']",Thu Aug 22 14:03:50 2024
Vanuatu,Vatu,OC,[],Thu Aug 22 14:03:51 2024
United Kingdom,Pound,EU,['Ireland'],Thu Aug 22 14:03:51 2024
Comoros,Franc,AF,[],Thu Aug 22 14:03:51 2024
Curacao,Guilder,NA,[],Thu Aug 22 14:03:52 2024
Slovakia,Euro,EU,"['Poland', 'Hungary', 'Czech Republic', 'Ukraine', 'Austria']",Thu Aug 22 14:03:53 2024
Taiwan,Dollar,AS,[],Thu Aug 22 14:03:53 2024
Zimbabwe,Dollar,AF,"['South Africa', 'Mozambique', 'Botswana', 'Zambia']",Thu Aug 22 14:03:54 2024
Saint Martin,Euro,NA,['Sint Maarten'],Thu Aug 22 14:03:54 2024
Kiribati,Dollar,OC,[],Thu Aug 22 14:03:54 2024
United States Minor Outlying Islands,Dollar,OC,[],Thu Aug 22 14:03:55 2024
South Georgia and the South Sandwich Islands,Pound,AN,[],Thu Aug 22 14:03:55 2024
France,Euro,EU,"['Switzerland', 'Germany', 'Belgium', 'Luxembourg', 'Italy', 'Andorra', 'Monaco', 'Spain']",Thu Aug 22 14:03:57 2024
Finland,Euro,EU,"['Norway', 'Russia', 'Sweden']",Thu Aug 22 14:03:57 2024
Gabon,Franc,AF,"['Cameroon', 'Equatorial Guinea', 'Republic of the Congo']",Thu Aug 22 14:03:58 2024
Canada,Dollar,NA,['United States'],Thu Aug 22 14:03:58 2024
Egypt,Pound,AF,"['Libya', 'Sudan', 'Israel']",Thu Aug 22 14:03:59 2024
Northern Mariana Islands,Dollar,OC,[],Thu Aug 22 14:03:59 2024
Tonga,Pa'anga,OC,[],Thu Aug 22 14:03:59 2024
Cocos Islands,Dollar,AS,[],Thu Aug 22 14:04:00 2024
Norfolk Island,Dollar,OC,[],Thu Aug 22 14:04:00 2024
Russia,Ruble,EU,"['Georgia', 'China', 'Belarus', 'Ukraine', 'Kazakhstan', 'Latvia', 'Poland', 'Estonia', 'Lithuania', 'Finland', 'Mongolia', 'Norway', 'Azerbaijan', 'North Korea']",Thu Aug 22 14:04:03 2024
Fiji,Dollar,OC,[],Thu Aug 22 14:04:03 2024
Lebanon,Pound,AS,"['Syria', 'Israel']",Thu Aug 22 14:04:03 2024
Colombia,Peso,SA,"['Ecuador', 'Peru', 'Panama', 'Brazil', 'Venezuela']",Thu Aug 22 14:04:04 2024
Dominican Republic,Peso,NA,['Haiti'],Thu Aug 22 14:04:05 2024
Laos,Kip,AS,"['China', 'Myanmar', 'Cambodia', 'Thailand', 'Vietnam']",Thu Aug 22 14:04:06 2024
China,Yuan Renminbi,AS,"['Laos', 'Bhutan', 'Tajikistan', 'Kazakhstan', 'Mongolia', 'Afghanistan', 'Nepal', 'Myanmar', 'Kyrgyzstan', 'Pakistan', 'North Korea', 'Russia', 'Vietnam', 'India']",Thu Aug 22 14:04:09 2024
Panama,Balboa,NA,"['Costa Rica', 'Colombia']",Thu Aug 22 14:04:09 2024
Micronesia,Dollar,OC,[],Thu Aug 22 14:04:09 2024
South Korea,Won,AS,['North Korea'],Thu Aug 22 14:04:10 2024
Brunei,Dollar,AS,['Malaysia'],Thu Aug 22 14:04:10 2024
Madagascar,Ariary,AF,[],Thu Aug 22 14:04:10 2024
Antigua and Barbuda,Dollar,NA,[],Thu Aug 22 14:04:10 2024
Anguilla,Dollar,NA,[],Thu Aug 22 14:04:11 2024
Myanmar,Kyat,AS,"['China', 'Laos', 'Thailand', 'Bangladesh', 'India']",Thu Aug 22 14:04:12 2024
Oman,Rial,AS,"['Saudi Arabia', 'Yemen', 'United Arab Emirates']",Thu Aug 22 14:04:13 2024
U.S. Virgin Islands,Dollar,NA,[],Thu Aug 22 14:04:13 2024
United Arab Emirates,Dirham,AS,"['Saudi Arabia', 'Oman']",Thu Aug 22 14:04:13 2024
French Southern Territories,Euro,AN,[],Thu Aug 22 14:04:14 2024
Isle of Man,Pound,EU,[],Thu Aug 22 14:04:14 2024
Liberia,Dollar,AF,"['Sierra Leone', 'Ivory Coast', 'Guinea']",Thu Aug 22 14:04:15 2024
Moldova,Leu,EU,"['Romania', 'Ukraine']",Thu Aug 22 14:04:15 2024
Serbia and Montenegro,Dinar,EU,"['Albania', 'Hungary', 'Macedonia', 'Romania', 'Croatia', 'Bosnia and Herzegovina', 'Bulgaria']",Thu Aug 22 14:04:17 2024
Bhutan,Ngultrum,AS,"['China', 'India']",Thu Aug 22 14:04:17 2024
Maldives,Rufiyaa,AS,[],Thu Aug 22 14:04:17 2024
Ecuador,Dollar,SA,"['Peru', 'Colombia']",Thu Aug 22 14:04:18 2024
Mongolia,Tugrik,AS,"['China', 'Russia']",Thu Aug 22 14:04:18 2024
Qatar,Rial,AS,['Saudi Arabia'],Thu Aug 22 14:04:19 2024
Wallis and Futuna,Franc,OC,[],Thu Aug 22 14:04:19 2024
Iraq,Dinar,AS,"['Syria', 'Saudi Arabia', 'Iran', 'Jordan', 'Turkey', 'Kuwait']",Thu Aug 22 14:04:20 2024
Botswana,Pula,AF,"['Zimbabwe', 'South Africa', 'Namibia']",Thu Aug 22 14:04:21 2024
Germany,Euro,EU,"['Switzerland', 'Poland', 'Netherlands', 'Denmark', 'Belgium', 'Czech Republic', 'Luxembourg', 'France', 'Austria']",Thu Aug 22 14:04:23 2024
Liechtenstein,Franc,EU,"['Switzerland', 'Austria']",Thu Aug 22 14:04:23 2024
Saint Pierre and Miquelon,Euro,NA,[],Thu Aug 22 14:04:24 2024
Palau,Dollar,OC,[],Thu Aug 22 14:04:24 2024
Andorra,Euro,EU,"['Spain', 'France']",Thu Aug 22 14:04:24 2024
Malta,Euro,EU,[],Thu Aug 22 14:04:25 2024
Reunion,Euro,AF,[],Thu Aug 22 14:04:25 2024
Peru,Sol,SA,"['Ecuador', 'Chile', 'Bolivia', 'Brazil', 'Colombia']",Thu Aug 22 14:04:26 2024
French Polynesia,Franc,OC,[],Thu Aug 22 14:04:26 2024
Senegal,Franc,AF,"['Guinea', 'Mauritania', 'Guinea-Bissau', 'Gambia', 'Mali']",Thu Aug 22 14:04:27 2024
Yemen,Rial,AS,"['Saudi Arabia', 'Oman']",Thu Aug 22 14:04:28 2024
Mauritius,Rupee,AF,[],Thu Aug 22 14:04:28 2024
Djibouti,Franc,AF,"['Eritrea', 'Ethiopia', 'Somalia']",Thu Aug 22 14:04:29 2024
Gambia,Dalasi,AF,['Senegal'],Thu Aug 22 14:04:29 2024
Nauru,Dollar,OC,[],Thu Aug 22 14:04:29 2024
Solomon Islands,Dollar,OC,[],Thu Aug 22 14:04:30 2024
Mexico,Peso,NA,"['Guatemala', 'United States', 'Belize']",Thu Aug 22 14:04:30 2024
Latvia,Euro,EU,"['Lithuania', 'Estonia', 'Belarus', 'Russia']",Thu Aug 22 14:04:31 2024
Philippines,Peso,AS,[],Thu Aug 22 14:04:32 2024
Gibraltar,Pound,EU,['Spain'],Thu Aug 22 14:04:32 2024
Paraguay,Guarani,SA,"['Bolivia', 'Brazil', 'Argentina']",Thu Aug 22 14:04:33 2024
Namibia,Dollar,AF,"['South Africa', 'Botswana', 'Zambia', 'Angola']",Thu Aug 22 14:04:33 2024
Luxembourg,Euro,EU,"['Germany', 'Belgium', 'France']",Thu Aug 22 14:04:34 2024
British Virgin Islands,Dollar,NA,[],Thu Aug 22 14:04:34 2024
Guatemala,Quetzal,NA,"['Mexico', 'Honduras', 'Belize', 'El Salvador']",Thu Aug 22 14:04:35 2024
Cuba,Peso,NA,['United States'],Thu Aug 22 14:04:36 2024
Equatorial Guinea,Franc,AF,"['Gabon', 'Cameroon']",Thu Aug 22 14:04:36 2024
Bahrain,Dinar,AS,[],Thu Aug 22 14:04:36 2024
Guadeloupe,Euro,NA,['Netherlands Antilles'],Thu Aug 22 14:04:37 2024
Iceland,Krona,EU,[],Thu Aug 22 14:04:37 2024
Albania,Lek,EU,"['Macedonia', 'Greece', 'Serbia and Montenegro', 'Montenegro', 'Serbia', 'Kosovo']",Thu Aug 22 14:04:38 2024
Cambodia,Riels,AS,"['Laos', 'Thailand', 'Vietnam']",Thu Aug 22 14:04:39 2024
Swaziland,Lilangeni,AF,"['South Africa', 'Mozambique']",Thu Aug 22 14:04:39 2024
Niger,Franc,AF,"['Chad', 'Benin', 'Algeria', 'Libya', 'Burkina Faso', 'Nigeria', 'Mali']",Thu Aug 22 14:04:41 2024
Estonia,Euro,EU,"['Russia', 'Latvia']",Thu Aug 22 14:04:41 2024
Cape Verde,Escudo,AF,[],Thu Aug 22 14:04:42 2024
Jamaica,Dollar,NA,[],Thu Aug 22 14:04:42 2024
Serbia,Dinar,EU,"['Albania', 'Hungary', 'Macedonia', 'Romania', 'Croatia', 'Bosnia and Herzegovina', 'Bulgaria', 'Montenegro', 'Kosovo']",Thu Aug 22 14:04:44 2024
Aruba,Guilder,NA,[],Thu Aug 22 14:04:44 2024
Barbados,Dollar,NA,[],Thu Aug 22 14:04:44 2024
Cyprus,Euro,EU,[],Thu Aug 22 14:04:45 2024
Mayotte,Euro,AF,[],Thu Aug 22 14:04:45 2024
Belize,Dollar,NA,"['Guatemala', 'Mexico']",Thu Aug 22 14:04:45 2024
French Guiana,Euro,SA,"['Suriname', 'Brazil']",Thu Aug 22 14:04:46 2024
Benin,Franc,AF,"['Niger', 'Togo', 'Burkina Faso', 'Nigeria']",Thu Aug 22 14:04:47 2024
Montenegro,Euro,EU,"['Albania', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Kosovo']",Thu Aug 22 14:04:48 2024
Belarus,Ruble,EU,"['Poland', 'Lithuania', 'Ukraine', 'Russia', 'Latvia']",Thu Aug 22 14:04:49 2024
Jersey,Pound,EU,[],Thu Aug 22 14:04:49 2024
Burundi,Franc,AF,"['Tanzania', 'Democratic Republic of the Congo', 'Rwanda']",Thu Aug 22 14:04:50 2024
Bouvet Island,Krone,AN,[],Thu Aug 22 14:04:50 2024
Haiti,Gourde,NA,['Dominican Republic'],Thu Aug 22 14:04:50 2024
Saudi Arabia,Rial,AS,"['Qatar', 'Oman', 'Iraq', 'Yemen', 'Jordan', 'United Arab Emirates', 'Kuwait']",Thu Aug 22 14:04:52 2024
New Zealand,Dollar,OC,[],Thu Aug 22 14:04:52 2024
Georgia,Lari,AS,"['Armenia', 'Azerbaijan', 'Turkey', 'Russia']",Thu Aug 22 14:04:53 2024
Martinique,Euro,NA,[],Thu Aug 22 14:04:53 2024
Turkmenistan,Manat,AS,"['Afghanistan', 'Iran', 'Uzbekistan', 'Kazakhstan']",Thu Aug 22 14:04:54 2024
Vietnam,Dong,AS,"['China', 'Laos', 'Cambodia']",Thu Aug 22 14:04:55 2024
Western Sahara,Dirham,AF,"['Algeria', 'Mauritania', 'Morocco']",Thu Aug 22 14:04:56 2024
Bosnia and Herzegovina,Marka,EU,"['Serbia and Montenegro', 'Croatia', 'Montenegro', 'Serbia']",Thu Aug 22 14:04:57 2024
Marshall Islands,Dollar,OC,[],Thu Aug 22 14:04:57 2024
Aland Islands,Euro,EU,[],Thu Aug 22 14:04:57 2024
Austria,Euro,EU,"['Switzerland', 'Germany', 'Hungary', 'Slovakia', 'Czech Republic', 'Italy', 'Slovenia', 'Liechtenstein']",Thu Aug 22 14:04:59 2024
Bermuda,Dollar,NA,[],Thu Aug 22 14:04:59 2024
Azerbaijan,Manat,AS,"['Georgia', 'Iran', 'Armenia', 'Turkey', 'Russia']",Thu Aug 22 14:05:01 2024
El Salvador,Dollar,NA,"['Guatemala', 'Honduras']",Thu Aug 22 14:05:01 2024
Ethiopia,Birr,AF,"['Eritrea', 'Kenya', 'Sudan', 'South Sudan', 'Somalia', 'Djibouti']",Thu Aug 22 14:05:02 2024
Bahamas,Dollar,NA,[],Thu Aug 22 14:05:03 2024
Bolivia,Boliviano,SA,"['Peru', 'Chile', 'Paraguay', 'Brazil', 'Argentina']",Thu Aug 22 14:05:04 2024
Norway,Krone,EU,"['Finland', 'Russia', 'Sweden']",Thu Aug 22 14:05:05 2024
Samoa,Tala,OC,[],Thu Aug 22 14:05:05 2024
Sint Maarten,Guilder,NA,['Saint Martin'],Thu Aug 22 14:05:05 2024
Guernsey,Pound,EU,[],Thu Aug 22 14:05:06 2024
Svalbard and Jan Mayen,Krone,EU,[],Thu Aug 22 14:05:06 2024
Brazil,Real,SA,"['Suriname', 'Peru', 'Bolivia', 'Uruguay', 'Guyana', 'Paraguay', 'French Guiana', 'Venezuela', 'Colombia', 'Argentina']",Thu Aug 22 14:05:08 2024
Eritrea,Nakfa,AF,"['Ethiopia', 'Sudan', 'Djibouti']",Thu Aug 22 14:05:09 2024
North Korea,Won,AS,"['China', 'South Korea', 'Russia']",Thu Aug 22 14:05:09 2024
Heard Island and McDonald Islands,Dollar,AN,[],Thu Aug 22 14:05:10 2024
